#           v(1)       i(Rs.Xcel1
 0.01       0.55002    1.9321    
 100.E-6    0.56002    2.4248    
 0.001      0.56002    2.3219    
 0.01       0.56002    1.5351    
 100.E-6    0.57002    1.8787    
 0.001      0.57002    1.7777    
 0.01       0.57001    1.1016    
 100.E-6    0.58001    1.1746    
 0.001      0.58001    1.095     
 0.01       0.58001    0.63314   
 100.E-6    0.59       0.26762   
 0.001      0.59       0.24494   
 0.01       0.59       0.13165   
 100.E-6    0.59999   -0.89915   
 0.001      0.59999   -0.80449   
 0.01       0.6       -0.40083   
