#           i(Rsh.Xcel i(Rsh.Xcel v(Vbias)   i(Vbias)   v(5)       v(1)      
 4.6416    -0.042946   50.392E-6  0.050043   4.2999     0.24981    0.049962  
 10.       -0.042892   96.308E-6  0.050043   4.2999     0.47939    0.095878  
 21.544    -0.042656   194.32E-6  0.050043   4.2997     0.96947    0.19389   
 46.416    -0.035789   342.75E-6  0.050043   4.2928     1.7116     0.34233   
 100.      -0.019006   390.65E-6  0.050043   4.276      1.9511     0.39022   
 215.44    -0.0091361  404.18E-6  0.050043   4.2661     2.0188     0.40376   
 464.16    -0.004297   409.42E-6  0.050043   4.2613     2.045      0.40899   
 1.E+3     -0.0020058  411.67E-6  0.050043   4.259      2.0562     0.41125   
 2.1544E+3 -933.34E-6  412.68E-6  0.050043   4.2579     2.0613     0.41226   
 4.6416E+3 -433.71E-6  413.14E-6  0.050043   4.2574     2.0636     0.41272   
 10.E+3    -201.42E-6  413.36E-6  0.050043   4.2572     2.0647     0.41293   
 1.        -0.042978   21.12E-6   0.060043   4.3        0.10345    0.02069   
 2.1544    -0.042967   31.038E-6  0.060043   4.3        0.15304    0.030608  
 4.6416    -0.042944   52.39E-6   0.060043   4.2999     0.2598     0.05196   
 10.       -0.042889   98.303E-6  0.060043   4.2999     0.48936    0.097873  
 21.544    -0.042646   196.28E-6  0.060043   4.2996     0.97926    0.19585   
 46.416    -0.035654   343.5E-6   0.060043   4.2927     1.7154     0.34307   
 100.      -0.018914   390.8E-6   0.060043   4.2759     1.9518     0.39037   
 215.44    -0.0090909  404.24E-6  0.060043   4.2661     2.019      0.40381   
 464.16    -0.0042757  409.44E-6  0.060043   4.2613     2.0451     0.40901   
 1.E+3     -0.0019958  411.68E-6  0.060043   4.259      2.0563     0.41125   
 2.1544E+3 -928.7E-6   412.69E-6  0.060043   4.2579     2.0613     0.41226   
 4.6416E+3 -431.56E-6  413.15E-6  0.060043   4.2574     2.0636     0.41272   
 10.E+3    -200.42E-6  413.36E-6  0.060043   4.2572     2.0647     0.41293   
 1.        -0.042976   23.12E-6   0.070043   4.3        0.11345    0.02269   
 2.1544    -0.042965   33.038E-6  0.070043   4.3        0.16304    0.032608  
 4.6416    -0.042942   54.388E-6  0.070043   4.2999     0.26979    0.053958  
 10.       -0.042886   100.3E-6   0.070043   4.2999     0.49934    0.099867  
 21.544    -0.042636   198.24E-6  0.070043   4.2996     0.98904    0.19781   
 46.416    -0.035518   344.24E-6  0.070043   4.2925     1.7191     0.34382   
 100.      -0.018821   390.95E-6  0.070043   4.2758     1.9526     0.39052   
 215.44    -0.0090457  404.29E-6  0.070043   4.266      2.0193     0.40386   
 464.16    -0.0042544  409.46E-6  0.070043   4.2613     2.0452     0.40904   
 1.E+3     -0.0019859  411.69E-6  0.070043   4.259      2.0563     0.41126   
 2.1544E+3 -924.07E-6  412.69E-6  0.070043   4.2579     2.0613     0.41226   
 4.6416E+3 -429.41E-6  413.15E-6  0.070043   4.2574     2.0636     0.41272   
 10.E+3    -199.42E-6  413.36E-6  0.070043   4.2572     2.0647     0.41293   
 1.        -0.042974   25.119E-6  0.080043   4.3        0.12345    0.024689  
 2.1544    -0.042963   35.037E-6  0.080043   4.3        0.17303    0.034607  
 4.6416    -0.042939   56.386E-6  0.080043   4.2999     0.27978    0.055956  
 10.       -0.042884   102.29E-6  0.080043   4.2999     0.50931    0.10186   
 21.544    -0.042626   200.19E-6  0.080043   4.2996     0.99881    0.19976   
 46.416    -0.035381   344.98E-6  0.080043   4.2924     1.7227     0.34455   
 100.      -0.018729   391.1E-6   0.080043   4.2757     1.9534     0.39067   
 215.44    -0.0090005  404.34E-6  0.080043   4.266      2.0196     0.40391   
 464.16    -0.0042331  409.48E-6  0.080043   4.2612     2.0453     0.40906   
 1.E+3     -0.0019759  411.7E-6   0.080043   4.259      2.0564     0.41127   
 2.1544E+3 -919.44E-6  412.69E-6  0.080043   4.2579     2.0613     0.41227   
 4.6416E+3 -427.26E-6  413.15E-6  0.080043   4.2574     2.0636     0.41272   
 10.E+3    -198.42E-6  413.36E-6  0.080043   4.2572     2.0647     0.41293   
 1.        -0.042972   27.119E-6  0.090043   4.3        0.13345    0.026689  
 2.1544    -0.04296    37.036E-6  0.090043   4.3        0.18303    0.036606  
 4.6416    -0.042937   58.384E-6  0.090043   4.2999     0.28977    0.057954  
 10.       -0.042881   104.29E-6  0.090043   4.2999     0.51928    0.10386   
 21.544    -0.042615   202.15E-6  0.090043   4.2996     1.0086     0.20172   
 46.416    -0.035244   345.7E-6   0.090043   4.2922     1.7264     0.34527   
 100.      -0.018636   391.25E-6  0.090043   4.2756     1.9541     0.39082   
 215.44    -0.0089553  404.39E-6  0.090043   4.266      2.0198     0.40397   
 464.16    -0.0042118  409.5E-6   0.090043   4.2612     2.0454     0.40908   
 1.E+3     -0.0019659  411.71E-6  0.090043   4.259      2.0564     0.41128   
 2.1544E+3 -914.81E-6  412.7E-6   0.090043   4.2579     2.0614     0.41227   
