#           v(1)       v(4)       v(3)       i(Vbias)   i(Rs.Xcel1 i(Rs.Xcel4 i(Rs.Xcel1 i(Rs.Xcel1
 0.58       0.57824   -0.57637    1.7347     9.9111     1.3131     1.3131     4.299      4.299     
 0.59       0.57824   -0.56638    1.7347     9.911      1.313      1.313      4.299      4.299     
 0.6        0.57824   -0.55638    1.7347     9.9109     1.3129     1.3129     4.299      4.299     
 0.61       0.57824   -0.54638    1.7347     9.9107     1.3128     1.3128     4.299      4.299     
 0.62       0.57824   -0.53638    1.7347     9.9106     1.3127     1.3127     4.2989     4.2989    
 0.63       0.57824   -0.52639    1.7347     9.9105     1.3126     1.3126     4.2989     4.2989    
 0.64       0.57824   -0.51639    1.7347     9.9103     1.3125     1.3125     4.2989     4.2989    
 0.65       0.57825   -0.50639    1.7347     9.9102     1.3124     1.3124     4.2989     4.2989    
 0.66       0.57825   -0.49639    1.7347     9.9101     1.3123     1.3123     4.2989     4.2989    
 0.67       0.57825   -0.4864     1.7347     9.9099     1.3122     1.3122     4.2989     4.2989    
 0.68       0.57825   -0.4764     1.7347     9.9098     1.3121     1.3121     4.2988     4.2988    
 0.69       0.57825   -0.4664     1.7348     9.9097     1.312      1.312      4.2988     4.2988    
 0.7        0.57825   -0.4564     1.7348     9.9095     1.3119     1.3119     4.2988     4.2988    
 0.71       0.57825   -0.44641    1.7348     9.9094     1.3118     1.3118     4.2988     4.2988    
 0.72       0.57825   -0.43641    1.7348     9.9093     1.3117     1.3117     4.2988     4.2988    
 0.73       0.57826   -0.42641    1.7348     9.9091     1.3116     1.3116     4.2988     4.2988    
 0.74       0.57826   -0.41641    1.7348     9.909      1.3115     1.3115     4.2987     4.2987    
 0.75       0.57826   -0.40642    1.7348     9.9089     1.3114     1.3114     4.2987     4.2987    
 0.76       0.57826   -0.39642    1.7348     9.9087     1.3113     1.3113     4.2987     4.2987    
 0.77       0.57826   -0.38642    1.7348     9.9086     1.3112     1.3112     4.2987     4.2987    
 0.78       0.57826   -0.37643    1.7348     9.9084     1.3111     1.3111     4.2987     4.2987    
 0.79       0.57826   -0.36643    1.7348     9.9083     1.311      1.311      4.2986     4.2986    
 0.8        0.57826   -0.35643    1.7348     9.9082     1.3109     1.3109     4.2986     4.2986    
 0.81       0.57827   -0.34643    1.7348     9.908      1.3108     1.3108     4.2986     4.2986    
 0.82       0.57827   -0.33644    1.7348     9.9079     1.3107     1.3107     4.2986     4.2986    
 0.83       0.57827   -0.32644    1.7348     9.9078     1.3106     1.3106     4.2986     4.2986    
 0.84       0.57827   -0.31644    1.7348     9.9076     1.3105     1.3105     4.2986     4.2986    
 0.85       0.57827   -0.30644    1.7348     9.9075     1.3104     1.3104     4.2985     4.2985    
 0.86       0.57827   -0.29645    1.7348     9.9074     1.3103     1.3103     4.2985     4.2985    
 0.87       0.57827   -0.28645    1.7348     9.9072     1.3102     1.3102     4.2985     4.2985    
 0.88       0.57828   -0.27645    1.7348     9.9071     1.3101     1.3101     4.2985     4.2985    
 0.89       0.57828   -0.26645    1.7348     9.9069     1.31       1.31       4.2985     4.2985    
 0.9        0.57828   -0.25646    1.7348     9.9068     1.3099     1.3099     4.2984     4.2984    
 0.91       0.57828   -0.24646    1.7348     9.9067     1.3098     1.3098     4.2984     4.2984    
 0.92       0.57828   -0.23646    1.7348     9.9065     1.3097     1.3097     4.2984     4.2984    
 0.93       0.57828   -0.22646    1.7348     9.9064     1.3096     1.3096     4.2984     4.2984    
 0.94       0.57828   -0.21647    1.7348     9.9063     1.3095     1.3095     4.2984     4.2984    
 0.95       0.57828   -0.20647    1.7349     9.9061     1.3094     1.3094     4.2984     4.2984    
 0.96       0.57829   -0.19647    1.7349     9.906      1.3093     1.3093     4.2983     4.2983    
 0.97       0.57829   -0.18648    1.7349     9.9058     1.3092     1.3092     4.2983     4.2983    
 0.98       0.57829   -0.17648    1.7349     9.9057     1.3091     1.3091     4.2983     4.2983    
 0.99       0.57829   -0.16648    1.7349     9.9056     1.309      1.309      4.2983     4.2983    
 1.         0.57829   -0.15648    1.7349     9.9054     1.3089     1.3089     4.2983     4.2983    
 1.01       0.57829   -0.14649    1.7349     9.9053     1.3088     1.3088     4.2982     4.2982    
 1.02       0.57829   -0.13649    1.7349     9.9051     1.3087     1.3087     4.2982     4.2982    
 1.03       0.57829   -0.12649    1.7349     9.905      1.3086     1.3086     4.2982     4.2982    
 1.04       0.5783    -0.11649    1.7349     9.9049     1.3085     1.3085     4.2982     4.2982    
 1.05       0.5783    -0.1065     1.7349     9.9047     1.3084     1.3084     4.2982     4.2982    
 1.06       0.5783    -0.096499   1.7349     9.9046     1.3083     1.3083     4.2981     4.2981    
 1.07       0.5783    -0.086501   1.7349     9.9044     1.3082     1.3082     4.2981     4.2981    
 1.08       0.5783    -0.076504   1.7349     9.9043     1.3081     1.3081     4.2981     4.2981    
 1.09       0.5783    -0.066507   1.7349     9.9042     1.308      1.308      4.2981     4.2981    
 1.1        0.5783    -0.056509   1.7349     9.904      1.3079     1.3079     4.298      4.298     
 1.11       0.57831   -0.046512   1.7349     9.9039     1.3078     1.3078     4.298      4.298     
 1.12       0.57831   -0.036514   1.7349     9.9037     1.3077     1.3077     4.298      4.298     
