#           v(1)       v(4)       v(3)       i(Vbias)   i(Rs.Xcel1 i(Rs.Xcel4 i(Rs.Xcel1 i(Rs.Xcel1 v(Dbypass1 v(Dbypass2 i(Dbypass1 i(Dbypass2 p(Dbypass1 p(Dbypass2
 0.33       0.2386    -0.82654    0.7158     12.896     4.2971     1.3054     4.2994     4.2994    -0.7158     0.38567   -1.E-6      2.9917     715.8E-9   1.1538    
 0.34       0.24193   -0.81654    0.7258     12.896     4.2971     1.3054     4.2994     4.2994    -0.7258     0.38567   -1.E-6      2.9916     725.8E-9   1.1538    
 0.35       0.24527   -0.80654    0.7358     12.896     4.297      1.3054     4.2994     4.2994    -0.7358     0.38567   -1.E-6      2.9916     735.8E-9   1.1538    
 0.36       0.2486    -0.79654    0.7458     12.896     4.2969     1.3054     4.2994     4.2994    -0.7458     0.38567   -1.E-6      2.9915     745.8E-9   1.1537    
 0.37       0.25193   -0.78654    0.7558     12.896     4.2968     1.3054     4.2994     4.2994    -0.7558     0.38567   -1.E-6      2.9914     755.8E-9   1.1537    
 0.38       0.25527   -0.77654    0.7658     12.895     4.2967     1.3054     4.2994     4.2994    -0.7658     0.38567   -1.E-6      2.9913     765.8E-9   1.1536    
 0.39       0.2586    -0.76654    0.77579    12.895     4.2966     1.3054     4.2993     4.2993    -0.77579    0.38567   -1.E-6      2.9912     775.79E-9  1.1536    
 0.4        0.26193   -0.75654    0.78579    12.895     4.2965     1.3054     4.2993     4.2993    -0.78579    0.38566   -1.E-6      2.9911     785.79E-9  1.1536    
 0.41       0.26526   -0.74654    0.79579    12.895     4.2964     1.3054     4.2993     4.2993    -0.79579    0.38566   -1.E-6      2.991      795.79E-9  1.1535    
 0.42       0.2686    -0.73654    0.80579    12.895     4.2963     1.3054     4.2993     4.2993    -0.80579    0.38566   -1.E-6      2.9909     805.79E-9  1.1535    
 0.43       0.27193   -0.72654    0.81579    12.895     4.2962     1.3054     4.2993     4.2993    -0.81579    0.38566   -1.E-6      2.9907     815.79E-9  1.1534    
 0.44       0.27526   -0.71654    0.82579    12.895     4.296      1.3054     4.2993     4.2993    -0.82579    0.38566   -1.E-6      2.9906     825.79E-9  1.1534    
 0.45       0.2786    -0.70654    0.83579    12.894     4.2959     1.3054     4.2992     4.2992    -0.83579    0.38566   -1.E-6      2.9905     835.79E-9  1.1533    
 0.46       0.28193   -0.69654    0.84579    12.894     4.2957     1.3054     4.2992     4.2992    -0.84579    0.38566   -1.E-6      2.9903     845.79E-9  1.1532    
 0.47       0.28526   -0.68654    0.85579    12.894     4.2956     1.3054     4.2992     4.2992    -0.85579    0.38566   -1.E-6      2.9901     855.79E-9  1.1532    
 0.48       0.28859   -0.67654    0.86578    12.894     4.2954     1.3054     4.2992     4.2992    -0.86578    0.38566   -1.E-6      2.99       865.78E-9  1.1531    
 0.49       0.29193   -0.66654    0.87578    12.894     4.2952     1.3054     4.2992     4.2992    -0.87578    0.38565   -1.E-6      2.9898     875.78E-9  1.153     
